survived,sex,age,age2,class,sex_class,crew
0,1,22.0,484.0,3,3,0
1,0,38.0,1444.0,1,0,0
1,0,26.0,676.0,3,0,0
1,0,35.0,1225.0,1,0,0
0,1,35.0,1225.0,3,3,0
0,1,28.0,784.0,3,3,0
0,1,54.0,2916.0,1,1,0
0,1,2.0,4.0,3,3,0
1,0,27.0,729.0,3,0,0
1,0,14.0,196.0,2,0,0
1,0,4.0,16.0,3,0,0
1,0,58.0,3364.0,1,0,0
0,1,20.0,400.0,3,3,0
0,1,39.0,1521.0,3,3,0
0,0,14.0,196.0,3,0,0
1,0,55.0,3025.0,2,0,0
0,1,2.0,4.0,3,3,0
1,1,28.0,784.0,2,2,0
0,0,31.0,961.0,3,0,0
1,0,28.0,784.0,3,0,0
0,1,35.0,1225.0,2,2,0
1,1,34.0,1156.0,2,2,0
1,0,15.0,225.0,3,0,0
1,1,28.0,784.0,1,1,0
0,0,8.0,64.0,3,0,0
1,0,38.0,1444.0,3,0,0
0,1,28.0,784.0,3,3,0
0,1,19.0,361.0,1,1,0
1,0,28.0,784.0,3,0,0
0,1,28.0,784.0,3,3,0
0,1,40.0,1600.0,1,1,0
1,0,28.0,784.0,1,0,0
1,0,28.0,784.0,3,0,0
0,1,66.0,4356.0,2,2,0
0,1,28.0,784.0,1,1,0
0,1,42.0,1764.0,1,1,0
1,1,28.0,784.0,3,3,0
0,1,21.0,441.0,3,3,0
0,0,18.0,324.0,3,0,0
1,0,14.0,196.0,3,0,0
0,0,40.0,1600.0,3,0,0
0,0,27.0,729.0,2,0,0
0,1,28.0,784.0,3,3,0
1,0,3.0,9.0,2,0,0
1,0,19.0,361.0,3,0,0
0,1,28.0,784.0,3,3,0
0,1,28.0,784.0,3,3,0
1,0,28.0,784.0,3,0,0
0,1,28.0,784.0,3,3,0
0,0,18.0,324.0,3,0,0
0,1,7.0,49.0,3,3,0
0,1,21.0,441.0,3,3,0
1,0,49.0,2401.0,1,0,0
1,0,29.0,841.0,2,0,0
0,1,65.0,4225.0,1,1,0
1,1,28.0,784.0,1,1,0
1,0,21.0,441.0,2,0,0
0,1,28.5,812.25,3,3,0
1,0,5.0,25.0,2,0,0
0,1,11.0,121.0,3,3,0
0,1,22.0,484.0,3,3,0
1,0,38.0,1444.0,1,0,0
0,1,45.0,2025.0,1,1,0
0,1,4.0,16.0,3,3,0
0,1,28.0,784.0,1,1,0
1,1,28.0,784.0,3,3,0
1,0,29.0,841.0,2,0,0
